id,ethnicity,masculinity,n,response
10520141149,asian,em,1,forced
10520141149,asian,hm,1,forced
10520141149,black,em,2,forced
10520141149,black,hm,2,forced
10520141149,latino,em,3,forced
10520141149,latino,hm,1,forced
10520141149,white,em,0,forced
10520141149,white,hm,0,forced
10520210026,asian,em,0,forced
10520210026,asian,hm,3,forced
10520210026,black,em,0,forced
10520210026,black,hm,0,forced
10520210026,latino,em,1,forced
10520210026,latino,hm,1,forced
10520210026,white,em,2,forced
10520210026,white,hm,3,forced
10520299477,asian,em,0,forced
10520299477,asian,hm,2,forced
10520299477,black,em,0,forced
10520299477,black,hm,2,forced
10520299477,latino,em,0,forced
10520299477,latino,hm,2,forced
10520299477,white,em,1,forced
10520299477,white,hm,3,forced
10520301467,asian,em,0,forced
10520301467,asian,hm,0,forced
10520301467,black,em,1,forced
10520301467,black,hm,0,forced
10520301467,latino,em,2,forced
10520301467,latino,hm,3,forced
10520301467,white,em,2,forced
10520301467,white,hm,2,forced
10520308927,asian,em,0,forced
10520308927,asian,hm,0,forced
10520308927,black,em,4,forced
10520308927,black,hm,2,forced
10520308927,latino,em,2,forced
10520308927,latino,hm,1,forced
10520308927,white,em,0,forced
10520308927,white,hm,1,forced
10520315660,asian,em,0,forced
10520315660,asian,hm,0,forced
10520315660,black,em,1,forced
10520315660,black,hm,1,forced
10520315660,latino,em,1,forced
10520315660,latino,hm,4,forced
10520315660,white,em,1,forced
10520315660,white,hm,2,forced
10520315727,asian,em,3,forced
10520315727,asian,hm,1,forced
10520315727,black,em,0,forced
10520315727,black,hm,1,forced
10520315727,latino,em,1,forced
10520315727,latino,hm,2,forced
10520315727,white,em,1,forced
10520315727,white,hm,1,forced
10520495627,asian,em,1,forced
10520495627,asian,hm,1,forced
10520495627,black,em,0,forced
10520495627,black,hm,1,forced
10520495627,latino,em,1,forced
10520495627,latino,hm,1,forced
10520495627,white,em,3,forced
10520495627,white,hm,2,forced
10520520874,asian,em,0,forced
10520520874,asian,hm,2,forced
10520520874,black,em,0,forced
10520520874,black,hm,2,forced
10520520874,latino,em,1,forced
10520520874,latino,hm,1,forced
10520520874,white,em,1,forced
10520520874,white,hm,3,forced
10520528312,asian,em,1,forced
10520528312,asian,hm,2,forced
10520528312,black,em,2,forced
10520528312,black,hm,2,forced
10520528312,latino,em,1,forced
10520528312,latino,hm,0,forced
10520528312,white,em,1,forced
10520528312,white,hm,1,forced
10520582906,asian,em,0,forced
