id,start,end,consent,sex_orient,gender,single,out,pic,age,body,ethnicity,sex_position,si_popular,si_racialgrp,si_react,si_appearance,si_masc,si_reputation,si_attractive,si_skincolor,si_gestures,si_socialbhvr,fc_1,fc_2,fc_3,fc_4,fc_5,fc_6,fc_7,fc_8,fc_9,fc_10
10578286144,2019-03-07T17:24:00Z,2019-03-07T17:36:00Z,I agree,Gay,Man,Single,Everyone,Face only,30,Average,Asian,Bottom,3,2,4,2,3,5,4,1,2,3,white-em-01,white-hm-02,latino-hm-01,white-hm-04,latino-em-03,white-em-04,latino-hm-03,latino-em-05,latino-hm-02,latino-em-04
10577885592,2019-03-07T14:47:00Z,2019-03-07T14:55:00Z,I agree,Gay,Man,Single,Most of my friends,Face only,25,Slim,Asian,Bottom,3,5,4,5,2,4,4,2,3,3,asian-hm-02,black-hm-04,white-em-05,white-hm-04,black-hm-02,black-em-04,latino-hm-03,latino-hm-05,black-hm-01,latino-em-01
10577121393,2019-03-07T10:08:00Z,2019-03-07T10:22:00Z,I agree,Gay,Man,Single,Most of my friends,Face only,39,Average,Asian,Bottom,1,3,2,4,2,1,4,1,2,4,white-em-01,white-hm-02,white-hm-03,asian-em-04,asian-hm-04,black-em-04,latino-hm-03,white-hm-01,latino-hm-02,asian-em-02
10576459547,2019-03-07T04:39:00Z,2019-03-07T04:47:00Z,I agree,Gay,Man,Single,Everyone,Body only,35,Average,Black,Versatile,1,1,1,2,1,2,1,1,1,1,asian-hm-02,white-hm-02,black-em-01,black-em-05,asian-hm-04,black-em-04,asian-em-05,white-hm-05,latino-hm-02,latino-em-04
10575905406,2019-03-06T21:55:00Z,2019-03-06T22:10:00Z,I agree,Gay,Man,Single,Everyone,Face only,19,Toned,White,Bottom,4,2,1,4,1,1,4,3,2,3,white-em-03,white-hm-02,latino-hm-01,asian-em-04,latino-em-03,black-em-04,asian-hm-01,latino-hm-05,asian-em-01,asian-hm-05
10575786682,2019-03-06T20:37:00Z,2019-03-06T20:44:00Z,I agree,Bisexual/curious,Man,Single,Everyone,Body and face,41,Muscular,White,Top,1,1,1,1,1,4,1,1,1,1,asian-hm-02,white-hm-02,latino-hm-01,white-hm-04,latino-em-03,asian-hm-03,latino-hm-04,white-hm-01,latino-hm-02,asian-hm-05
10575582603,2019-03-06T18:36:00Z,2019-03-06T18:42:00Z,I agree,Gay,Man,Relationship,Everyone,Body only,30,Average,Black,Versatile,1,4,1,5,1,1,3,5,1,1,asian-hm-02,black-hm-04,white-hm-03,white-hm-04,black-hm-02,asian-hm-03,latino-hm-03,white-hm-01,latino-hm-02,latino-em-04
10575564367,2019-03-06T18:25:00Z,2019-03-06T18:40:00Z,I agree,Gay,Man,Single,A few family members,Body only,29,Toned,Black,Bottom,4,3,4,4,5,5,4,4,4,3,asian-hm-02,white-hm-02,white-hm-03,white-hm-04,latino-em-03,black-em-04,latino-hm-03,latino-hm-05,latino-hm-02,asian-em-02
10575178592,2019-03-06T15:27:00Z,2019-03-06T15:34:00Z,I agree,Bisexual/curious,Man,Single,Only the guys I have sex with,Body and face,23,Muscular,Black,Top,4,3,3,5,3,4,4,3,1,1,white-em-03,white-hm-02,white-hm-03,white-hm-04,black-hm-03,asian-hm-03,latino-hm-04,white-hm-01,latino-hm-02,asian-hm-05
10574399961,2019-03-06T10:50:00Z,2019-03-06T11:01:00Z,I agree,Gay,Man,Dating,Everyone,Face only,30,Slim,Latino,Top,3,5,1,4,1,3,4,1,1,1,black-em-03,black-em-02,black-em-01,asian-em-04,latino-em-03,latino-em-02,asian-em-05,latino-em-05,asian-em-01,latino-em-04
