id,pa_a4a,pa_dh,pa_dsc,pa_grdr,pa_grzz,pa_grwl,pa_hrnt,pa_jckd,pa_okc,pa_scf,pa_srg,pa_tdr,pa_other,ca_a4a,ca_dh,ca_dsc,ca_grdr,ca_grzz,ca_grwl,ca_hrnt,ca_jckd,ca_okc,ca_scf,ca_srg,ca_tdr,ca_other,ca_none,hi_profpic,hi_age,hi_body,hi_ethnty,hi_sexpost,hi_none,black-hm-03,latino-em-03,black-hm-02,asian-hm-04,asian-em-04,white-hm-04,black-em-05,asian-em-03,latino-hm-01,black-em-01,white-em-05,white-hm-03,black-hm-05,black-em-02,white-hm-02,black-hm-04,white-em-01,black-em-03,white-em-03,asian-hm-02,asian-hm-05,latino-em-01,latino-em-04,asian-em-02,black-hm-01,asian-em-01,latino-hm-02,white-em-02,white-hm-01,latino-hm-05,latino-em-05,white-hm-05,latino-hm-04,latino-hm-03,asian-em-05,asian-hm-01,black-em-04,latino-em-02,asian-hm-03,white-em-04
10578286144,Adam4Adam,none,none,Grindr,none,none,none,Jack'd,none,Scruff,Surge,none,none,Adam4Adam,none,none,Grindr,none,none,none,Jack'd,none,none,none,none,Some other app,none,none,none,none,none,none,"None, don't hide anything",none,none,black-hm-02,none,none,none,none,none,latino-hm-01,none,none,none,none,none,none,none,white-em-01,none,none,none,none,none,none,none,none,none,latino-hm-02,none,none,latino-hm-05,latino-em-05,none,none,latino-hm-03,none,asian-hm-01,none,none,none,white-em-04
10577885592,none,none,none,Grindr,none,none,none,none,none,none,none,Tinder,Some other app,none,none,none,Grindr,none,none,none,none,none,none,none,Tinder,Some other app,none,Profile pic,none,none,none,none,"None, don't hide anything",none,none,none,none,asian-em-04,white-hm-04,black-em-05,asian-em-03,latino-hm-01,none,white-em-05,white-hm-03,none,none,white-hm-02,black-hm-04,none,none,none,asian-hm-02,none,latino-em-01,latino-em-04,none,black-hm-01,none,none,none,white-hm-01,latino-hm-05,latino-em-05,none,none,latino-hm-03,none,none,black-em-04,none,asian-hm-03,white-em-04
10577121393,Adam4Adam,none,none,Grindr,none,none,none,none,OkCupid,none,Surge,Tinder,none,none,none,none,Grindr,none,none,none,none,none,none,none,Tinder,none,none,none,none,none,none,none,"None, don't hide anything",none,none,black-hm-02,asian-hm-04,asian-em-04,white-hm-04,none,none,latino-hm-01,none,none,white-hm-03,none,none,white-hm-02,none,white-em-01,none,white-em-03,asian-hm-02,none,none,none,asian-em-02,none,none,latino-hm-02,white-em-02,white-hm-01,latino-hm-05,latino-em-05,white-hm-05,none,latino-hm-03,none,asian-hm-01,none,none,none,white-em-04
10576459547,Adam4Adam,none,none,Grindr,none,none,none,Jack'd,none,none,none,Tinder,none,none,none,none,Grindr,none,none,none,none,none,none,none,Tinder,none,none,none,none,none,none,none,"None, don't hide anything",black-hm-03,latino-em-03,black-hm-02,none,none,white-hm-04,black-em-05,none,none,none,none,white-hm-03,black-hm-05,none,none,black-hm-04,white-em-01,black-em-03,none,none,none,latino-em-01,none,none,black-hm-01,none,latino-hm-02,white-em-02,none,latino-hm-05,latino-em-05,white-hm-05,none,latino-hm-03,none,none,none,none,asian-hm-03,white-em-04
10575905406,none,none,none,Grindr,none,none,none,none,none,none,none,Tinder,none,none,none,none,Grindr,none,none,none,none,none,none,none,Tinder,none,none,none,none,none,none,none,"None, don't hide anything",none,latino-em-03,none,none,asian-em-04,white-hm-04,black-em-05,none,latino-hm-01,none,none,none,black-hm-05,none,white-hm-02,black-hm-04,white-em-01,none,white-em-03,none,asian-hm-05,none,latino-em-04,asian-em-02,none,none,none,none,white-hm-01,latino-hm-05,latino-em-05,white-hm-05,none,none,none,asian-hm-01,black-em-04,none,none,white-em-04
10575786682,none,none,none,Grindr,none,none,none,none,none,Scruff,none,none,none,none,none,none,Grindr,none,none,none,none,none,Scruff,none,none,none,none,none,Age,none,none,none,none,none,none,none,none,none,white-hm-04,none,none,none,none,none,white-hm-03,none,none,none,none,none,none,none,asian-hm-02,none,none,none,none,none,none,none,none,white-hm-01,none,none,none,none,none,none,none,none,none,asian-hm-03,none
10575582603,Adam4Adam,none,none,Grindr,none,Growlr,none,Jack'd,none,none,none,Tinder,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Not using an app,none,none,none,none,none,"None, don't hide anything",none,none,black-hm-02,none,none,white-hm-04,none,none,none,none,none,none,none,none,none,black-hm-04,none,none,none,none,none,none,none,none,none,none,none,none,white-hm-01,none,none,none,none,latino-hm-03,none,none,none,none,none,none
10575564367,Adam4Adam,none,none,Grindr,none,Growlr,Hornet,Jack'd,OkCupid,Scruff,Surge,Tinder,Some other app,none,none,none,Grindr,none,none,none,Jack'd,none,none,none,Tinder,Some other app,none,none,Age,none,none,Sexual position,none,none,none,none,none,none,white-hm-04,none,none,none,none,none,white-hm-03,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,latino-hm-05,none,none,none,latino-hm-03,none,none,black-em-04,none,none,none
10575178592,none,none,none,Grindr,none,none,none,none,none,none,none,none,none,none,none,none,Grindr,none,none,none,none,none,none,none,none,none,none,none,none,none,Ethnicity,none,none,black-hm-03,none,black-hm-02,asian-hm-04,none,white-hm-04,none,none,latino-hm-01,none,white-em-05,none,none,none,white-hm-02,black-hm-04,none,none,white-em-03,asian-hm-02,asian-hm-05,none,none,asian-em-02,black-hm-01,none,latino-hm-02,none,white-hm-01,none,latino-em-05,white-hm-05,latino-hm-04,none,none,asian-hm-01,none,none,asian-hm-03,none
10574399961,Adam4Adam,none,none,Grindr,none,none,Hornet,Jack'd,none,Scruff,Surge,Tinder,none,none,none,none,Grindr,none,none,none,Jack'd,none,none,Surge,Tinder,none,none,none,none,none,none,none,"None, don't hide anything",none,none,none,none,none,none,none,none,none,black-em-01,none,none,none,black-em-02,none,none,none,none,none,none,none,none,latino-em-04,none,none,none,none,none,none,none,latino-em-05,none,none,none,asian-em-05,none,none,none,none,none
