id,asian_em,black_em,latino_em,white_em,asian_hm,black_hm,latino_hm,white_hm
10520141149,0,1,2,0,0,0,1,1
10520210026,0,0,0,3,0,0,0,2
10520299477,2,1,1,2,2,3,4,4
10520301467,0,0,1,2,0,1,3,1
10520308927,0,2,2,0,0,1,1,0
10520315660,0,2,1,3,0,5,4,5
10520315727,4,0,2,1,5,3,3,3
10520495627,0,0,1,4,0,0,2,4
10520520874,0,0,1,1,1,0,1,2
10520528312,3,4,2,1,2,1,1,2
10520582906,0,0,1,1,0,1,4,4
10520589085,0,0,0,0,0,2,3,0
10520592697,0,5,2,1,2,4,3,0
10520593726,1,3,2,1,2,2,1,4
10520593864,2,0,3,3,1,3,5,2
10520621084,0,1,0,0,1,3,0,0
10520634605,0,0,2,0,0,2,2,4
10520685276,0,0,1,0,0,1,3,1
10520867805,0,2,3,3,4,4,3,1
10521009978,0,4,2,0,1,4,2,0
10521056784,0,2,0,0,0,2,1,0
10521059039,1,2,3,2,3,3,3,3
10521078126,0,0,4,2,1,0,4,4
10521080610,1,2,1,3,1,4,4,3
10521104257,1,4,3,1,0,2,2,0
10521154042,0,0,0,0,1,2,1,1
10521161116,5,3,4,3,5,0,0,1
10521165605,0,0,0,3,0,0,0,4
10521531326,2,2,2,1,2,0,0,1
10521537804,1,0,1,0,0,2,0,0
10521557957,1,0,3,2,3,0,1,2
10521558326,4,3,2,1,1,3,1,1
10521560767,0,0,1,1,0,0,2,1
10521561026,0,1,3,1,0,0,0,0
10521595635,0,1,0,0,0,2,1,1
10521642713,0,0,0,0,1,1,0,3
10521645764,0,4,0,0,0,2,0,0
10522572840,0,1,2,3,1,4,3,5
10522706556,1,0,1,0,1,0,1,1
10522777871,0,3,2,2,0,2,1,3
10523031806,1,0,1,1,0,0,0,2
10523038107,0,1,1,2,2,5,5,4
10523202837,0,0,0,0,0,1,1,3
10523283272,3,0,1,4,2,1,4,5
10523463522,0,0,1,3,0,0,0,1
10523543784,1,0,3,4,0,1,2,2
10523594952,0,0,0,0,0,0,3,2
10523643696,0,1,2,0,2,0,0,1
10523739479,0,0,0,1,0,0,2,1
10523791317,0,0,0,0,0,0,2,2
10523798983,0,0,0,0,1,0,1,3
10523879610,0,0,0,1,0,0,3,1
10523883793,2,0,2,5,1,0,2,3
10524010107,0,0,0,1,0,1,0,3
10524061762,0,0,1,3,0,1,1,5
10524094828,0,0,0,0,0,0,2,3
10524099300,4,0,1,4,3,1,1,4
10524125765,3,3,4,1,2,2,0,1
10524126032,0,0,3,3,2,2,5,5
10524129368,0,0,0,1,0,0,1,3
10524154825,2,0,0,3,4,0,5,4
10524155311,0,0,0,3,1,1,4,4
10524166888,0,2,2,0,1,2,3,2
10524174819,1,0,2,1,5,4,3,3
