Respondent ID,Collector ID,Start Date,End Date,Email Address,First Name,Last Name,Custom Data 1,"I have read this informed consent form.  If I had any questions, they have been answered.  By selecting the I agree option below, I agree to participate in this research project.  By continuing, I affirm that I am over the age of 18 and currently use, or have tried, at least one dating app in my lifetime.",I consider myself to be:,I identify as a:,I am:,The following people in my life know about my sexual orientation:,"I have used the following apps at least once to find other men to date, befriend, trade pics, chat or have sex with:",,,,,,,,,,,,,I currently have profiles on the following apps:,,,,,,,,,,,,,,My profile pic usually shows:,My age is,Body type:,Ethnicity:,Sexual position:,I usually hide this information from my profile:,,,,,,"My popularity with other guys, their willingness to chat with or meet me",My sense of belonging to my own racial group,The ways in which other people react to what I say and do,"My physical appearance: my height, my weight, and the shape of my body","My masculinity, how manly others think I am","My reputation, what others think of me",My attractiveness to other guys,The color of my skin,"My gestures and mannerisms, whether others can tell if I am gay","My social behavior, such as the way I act when meeting other men",:,:,:,:,:,:,:,:,:,:,:,,,,,,,,,,:,,,,,,,,,,:,,,,,,,,,,:,,,,,,,,,
,,,,,,,,Response,Response,Response,Response,Response,Adam4Adam,Daddyhunt,DISCO,Grindr,Grizzly,Growlr,Hornet,Jack'd,OkCupid,Scruff,Surge,Tinder,Some other app,Adam4Adam,Daddyhunt,DISCO,Grindr,Grizzly,Growlr,Hornet,Jack'd,OkCupid,Scruff,Surge,Tinder,Some other app,Not using an app,Response,Response,Response,Response,Response,Profile pic,Age,Body type,Ethnicity,Sexual position,"None, don't hide anything",Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10
10578286144,225476575,03-07-19 17:24,03-07-19 17:36,,,,,I agree,Gay,Cisgender man,Single,Everyone,Adam4Adam,,,Grindr,,,,Jack'd,,Scruff,Surge,,,Adam4Adam,,,Grindr,,,,Jack'd,,,,,Some other app,,Face only,30,Average,Asian,Bottom,,,,,,"None, don't hide anything",Somewhat important to my sense of who I am,Slightly important to my sense of who I am,Very important to my sense of who I am,Slightly important to my sense of who I am,Somewhat important to my sense of who I am,Extremely important to my sense of who I am,Very important to my sense of who I am,Not important to my sense of who I am,Slightly important to my sense of who I am,Somewhat important to my sense of who I am,Image 1,Image 3,Image 1,Image 2,Image 2,Image 4,Image 2,Image 3,Image 3,Image 3,,,Image 3,,,,,,Image 9,,,,,,,,Image 7,,,,,,,,,,Image 7,,,Image 10,Image 1,,,Image 4,,Image 6,,,,Image 10
10577885592,225476575,03-07-19 14:47,03-07-19 14:55,,,,,I agree,Gay,Cisgender man,Single,Most of my friends,,,,Grindr,,,,,,,,Tinder,Some other app,,,,Grindr,,,,,,,,Tinder,Some other app,,Face only,25,Slim,Asian,Bottom,Profile pic,,,,,"None, don't hide anything",Somewhat important to my sense of who I am,Extremely important to my sense of who I am,Very important to my sense of who I am,Extremely important to my sense of who I am,Slightly important to my sense of who I am,Very important to my sense of who I am,Very important to my sense of who I am,Slightly important to my sense of who I am,Somewhat important to my sense of who I am,Somewhat important to my sense of who I am,Image 4,Image 4,Image 3,Image 2,Image 3,Image 1,Image 2,Image 2,Image 1,Image 2,,,,,Image 5,Image 6,Image 7,Image 8,Image 9,,Image 1,Image 2,,,Image 5,Image 6,,,,Image 10,,Image 2,Image 3,,Image 5,,,,Image 9,Image 10,Image 1,,,Image 4,,,Image 7,,Image 9,Image 10
10577121393,225476575,03-07-19 10:08,03-07-19 10:22,,,,,I agree,Gay,Man,Single,Most of my friends,Adam4Adam,,,Grindr,,,,,OkCupid,,Surge,Tinder,,,,,Grindr,,,,,,,,Tinder,,,Face only,39,Average,Asian,Bottom,,,,,,"None, don't hide anything",Not important to my sense of who I am,Somewhat important to my sense of who I am,Slightly important to my sense of who I am,Very important to my sense of who I am,Slightly important to my sense of who I am,Not important to my sense of who I am,Very important to my sense of who I am,Not important to my sense of who I am,Slightly important to my sense of who I am,Very important to my sense of who I am,Image 1,Image 3,Image 4,Image 1,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,,,Image 3,Image 4,Image 5,Image 6,,,Image 9,,,Image 2,,,Image 5,,Image 7,,Image 9,Image 10,,,,Image 4,,,Image 7,Image 8,Image 9,Image 10,Image 1,Image 2,,Image 4,,Image 6,,,,Image 10
10576459547,225476575,03-07-19 04:39,03-07-19 04:47,,,,,I agree,Gay,Man,Single,Everyone,Adam4Adam,,,Grindr,,,,Jack'd,,,,Tinder,,,,,Grindr,,,,,,,,Tinder,,,Body only,35,Average,Black,Versatile,,,,,,"None, don't hide anything",Not important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Slightly important to my sense of who I am,Not important to my sense of who I am,Slightly important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 3,Image 3,Image 1,Image 2,Image 3,,,Image 6,Image 7,,,,,Image 2,Image 3,,,Image 6,Image 7,Image 8,,,,Image 2,,,Image 5,,Image 7,Image 8,,Image 10,Image 1,Image 2,,Image 4,,,,,Image 9,Image 10
10575905406,225476575,03-06-19 21:55,03-06-19 22:10,,,,,I agree,Gay,Man,Single,Everyone,,,,Grindr,,,,,,,,Tinder,,,,,Grindr,,,,,,,,Tinder,,,Face only,19,Toned,White,Bottom,,,,,,"None, don't hide anything",Very important to my sense of who I am,Slightly important to my sense of who I am,Not important to my sense of who I am,Very important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Very important to my sense of who I am,Somewhat important to my sense of who I am,Slightly important to my sense of who I am,Somewhat important to my sense of who I am,Image 3,Image 3,Image 1,Image 1,Image 2,Image 1,Image 4,Image 2,Image 2,Image 1,,Image 2,,,Image 5,Image 6,Image 7,,Image 9,,,,Image 3,,Image 5,Image 6,Image 7,,Image 9,,Image 1,,Image 3,Image 4,,,,,Image 9,Image 10,Image 1,Image 2,,,,Image 6,Image 7,,,Image 10
10575786682,225476575,03-06-19 20:37,03-06-19 20:44,,,,,I agree,Bisexual/curious,Man,Single,Everyone,,,,Grindr,,,,,,Scruff,,,,,,,Grindr,,,,,,Scruff,,,,,Body and face,41,Muscular,White,Top,,Age,,,,,Not important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Very important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Image 4,Image 3,Image 1,Image 2,Image 2,Image 3,Image 1,Image 1,Image 3,Image 1,,,,,,Image 6,,,,,,Image 2,,,,,,,,Image 10,,,,,,,,,Image 9,,,,,,,,,,Image 9,
10575582603,225476575,03-06-19 18:36,03-06-19 18:42,,,,,I agree,Gay,Man,In a relationship,Everyone,Adam4Adam,,,Grindr,,Growlr,,Jack'd,,,,Tinder,,,,,,,,,,,,,,,Not using an app,Body only,30,Average,Black,Versatile,,,,,,"None, don't hide anything",Not important to my sense of who I am,Very important to my sense of who I am,Not important to my sense of who I am,Extremely important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Somewhat important to my sense of who I am,Extremely important to my sense of who I am,Not important to my sense of who I am,Not important to my sense of who I am,Image 4,Image 4,Image 4,Image 2,Image 3,Image 3,Image 2,Image 1,Image 3,Image 3,,,Image 3,,,Image 6,,,,,,,,,,Image 6,,,,,,,,,,,,,Image 9,,,,,Image 4,,,,,,
10575564367,225476575,03-06-19 18:25,03-06-19 18:40,,,,,I agree,Gay,Man,Single,A few family members,Adam4Adam,,,Grindr,,Growlr,Hornet,Jack'd,OkCupid,Scruff,Surge,Tinder,Some other app,,,,Grindr,,,,Jack'd,,,,Tinder,Some other app,,Body only,29,Toned,Black,Bottom,,Age,,,Sexual position,,Very important to my sense of who I am,Somewhat important to my sense of who I am,Very important to my sense of who I am,Very important to my sense of who I am,Extremely important to my sense of who I am,Extremely important to my sense of who I am,Very important to my sense of who I am,Very important to my sense of who I am,Very important to my sense of who I am,Somewhat important to my sense of who I am,Image 4,Image 3,Image 4,Image 2,Image 2,Image 1,Image 2,Image 2,Image 3,Image 4,,,,,,Image 6,,,,,,Image 2,,,,,,,,,,,,,,,,,,Image 10,,,,Image 4,,,Image 7,,,
